taxonomy	classified	ASV_ID	ASV_length	kmer_LCA	rank	taxid	taxon	taxonomy_rank	taxonomy_standard	D	P	C	O	F	G
[Acetivibrio] ethanolgignens group (taxid 45486)	C	36d3d8c34c1ceff9ee5018f7d840f2ad	404	3:174 45409:5 1859:3 45409:13 3:4 45409:2 3:35 45409:6 3:9 45486:1 3:6 45486:4 3:5 1859:3 3:68 1859:5 3:3 1859:1 3:5 45409:1 3:17	G	45486	[Acetivibrio] ethanolgignens group	R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Lachnospirales;F__Lachnospiraceae;G__[Acetivibrio] ethanolgignens group	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Acetivibrio] ethanolgignens group	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Acetivibrio] ethanolgignens group
[Eubacterium] brachy group (taxid 45586)	C	e26f2600e4f89e3c5359856423eba825	407	3:34 45586:5 3:1 45586:57 3:5 45586:3 3:1 45586:5 3:262	G	45586	[Eubacterium] brachy group	R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Peptostreptococcales-Tissierellales;F__Anaerovoracaceae;G__[Eubacterium] brachy group	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;[Eubacterium] brachy group	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	[Eubacterium] brachy group
[Eubacterium] brachy group (taxid 45586)	C	732ce1fe75bb48a8a3a8abb3c81af0a0	406	3:34 45586:5 3:1 45586:57 3:5 45586:3 3:1 45586:5 3:69 1672:1 3:5 45586:5 3:1 45586:74 3:4 1859:2 3:76 45586:6 3:18	G	45586	[Eubacterium] brachy group	R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Peptostreptococcales-Tissierellales;F__Anaerovoracaceae;G__[Eubacterium] brachy group	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;[Eubacterium] brachy group	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	[Eubacterium] brachy group
[Eubacterium] brachy group (taxid 45586)	C	5bad07af64e9037e2378e0bfa6ae84f6	406	3:59 1859:4 3:5 1672:1 1859:4 3:111 1859:80 3:5 1672:3 3:76 1672:1 45586:5 3:18	G	45586	[Eubacterium] brachy group	R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Peptostreptococcales-Tissierellales;F__Anaerovoracaceae;G__[Eubacterium] brachy group	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;[Eubacterium] brachy group	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	[Eubacterium] brachy group
[Eubacterium] coprostanoligenes group (taxid 45561)	C	c527fe11e2a5faca4cfcc70f97d7465d	405	3:32 1859:1 3:21 1859:53 1672:3 3:69 1859:1 3:9 1859:22 3:1 1859:46 45561:5 1859:15 3:93	F	45561	[Eubacterium] coprostanoligenes group	R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Oscillospirales;F__[Eubacterium] coprostanoligenes group	Bacteria;Firmicutes;Clostridia;Oscillospirales;[Eubacterium] coprostanoligenes group;	Bacteria	Firmicutes	Clostridia	Oscillospirales	[Eubacterium] coprostanoligenes group	
[Eubacterium] coprostanoligenes group (taxid 45561)	C	29f359bb51b7705f6a4ebbe2c4d23275	407	3:32 1859:1 3:21 1859:7 3:1 1859:8 0:3 3:2 1859:5 45561:2 45508:2 1859:4 45561:9 3:5 1859:2 3:29 1:5 3:235	F	45561	[Eubacterium] coprostanoligenes group	R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Oscillospirales;F__[Eubacterium] coprostanoligenes group	Bacteria;Firmicutes;Clostridia;Oscillospirales;[Eubacterium] coprostanoligenes group;	Bacteria	Firmicutes	Clostridia	Oscillospirales	[Eubacterium] coprostanoligenes group	
[Eubacterium] coprostanoligenes group (taxid 45561)	C	8590af9b319888f69541a9279a3050fa	405	3:54 1859:5 3:3 1859:5 45561:9 1859:31 1672:3 3:66 1859:13 3:2 1859:4 45561:5 45508:2 45561:3 45508:5 1859:4 3:1 1859:5 3:4 1859:54 3:78 1672:5 3:10	F	45561	[Eubacterium] coprostanoligenes group	R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Oscillospirales;F__[Eubacterium] coprostanoligenes group	Bacteria;Firmicutes;Clostridia;Oscillospirales;[Eubacterium] coprostanoligenes group;	Bacteria	Firmicutes	Clostridia	Oscillospirales	[Eubacterium] coprostanoligenes group	
[Eubacterium] coprostanoligenes group (taxid 45561)	C	ab09c19192bae80d8ed0f9550e5fff02	405	3:32 1859:1 3:21 1859:53 1672:3 3:66 1859:7 45561:5 1859:1 45561:29 3:6 45561:7 1859:3 45561:3 1859:41 3:78 1672:5 3:10	F	45561	[Eubacterium] coprostanoligenes group	R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Oscillospirales;F__[Eubacterium] coprostanoligenes group	Bacteria;Firmicutes;Clostridia;Oscillospirales;[Eubacterium] coprostanoligenes group;	Bacteria	Firmicutes	Clostridia	Oscillospirales	[Eubacterium] coprostanoligenes group	
[Eubacterium] coprostanoligenes group (taxid 45561)	C	d2b7ea280d7570fff0042ff0a243ce26	405	3:56 1859:3 3:3 1859:5 0:5 1859:4 0:5 45535:2 0:12 3:84 1859:1 1672:3 1859:5 3:3 1859:9 3:1 1859:1 3:10 45561:3 1859:5 45508:3 45561:8 0:6 3:2 0:4 1859:5 3:4 1859:1 3:80 1859:5 3:33	F	45561	[Eubacterium] coprostanoligenes group	R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Oscillospirales;F__[Eubacterium] coprostanoligenes group	Bacteria;Firmicutes;Clostridia;Oscillospirales;[Eubacterium] coprostanoligenes group;	Bacteria	Firmicutes	Clostridia	Oscillospirales	[Eubacterium] coprostanoligenes group	
[Eubacterium] coprostanoligenes group (taxid 45561)	C	ee3dc24cbf881886360d9209652a1993	405	3:48 0:1 45557:5 0:8 1859:6 45508:4 45536:3 45508:1 45536:5 45508:1 45536:3 45508:1 1859:5 3:4 1859:5 1672:2 1859:5 3:67 1859:6 1672:3 3:8 1859:7 45561:2 3:2 45508:12 45561:1 45508:9 45561:2 3:5 45508:11 3:1 45561:9 45508:1 45561:10 1859:6 45508:2 3:5 45508:2 3:10 1:19 3:5 1:12 3:35 1859:2 3:10	F	45561	[Eubacterium] coprostanoligenes group	R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Oscillospirales;F__[Eubacterium] coprostanoligenes group	Bacteria;Firmicutes;Clostridia;Oscillospirales;[Eubacterium] coprostanoligenes group;	Bacteria	Firmicutes	Clostridia	Oscillospirales	[Eubacterium] coprostanoligenes group	
