ASV_ID	taxonomy
36d3d8c34c1ceff9ee5018f7d840f2ad	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Acetivibrio] ethanolgignens group
e26f2600e4f89e3c5359856423eba825	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;[Eubacterium] brachy group
732ce1fe75bb48a8a3a8abb3c81af0a0	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;[Eubacterium] brachy group
5bad07af64e9037e2378e0bfa6ae84f6	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;[Eubacterium] brachy group
c527fe11e2a5faca4cfcc70f97d7465d	Bacteria;Firmicutes;Clostridia;Oscillospirales;[Eubacterium] coprostanoligenes group;
29f359bb51b7705f6a4ebbe2c4d23275	Bacteria;Firmicutes;Clostridia;Oscillospirales;[Eubacterium] coprostanoligenes group;
8590af9b319888f69541a9279a3050fa	Bacteria;Firmicutes;Clostridia;Oscillospirales;[Eubacterium] coprostanoligenes group;
ab09c19192bae80d8ed0f9550e5fff02	Bacteria;Firmicutes;Clostridia;Oscillospirales;[Eubacterium] coprostanoligenes group;
d2b7ea280d7570fff0042ff0a243ce26	Bacteria;Firmicutes;Clostridia;Oscillospirales;[Eubacterium] coprostanoligenes group;
ee3dc24cbf881886360d9209652a1993	Bacteria;Firmicutes;Clostridia;Oscillospirales;[Eubacterium] coprostanoligenes group;
d1aa262f77219420a877f7f44dcb5c38	Bacteria;Firmicutes;Clostridia;Oscillospirales;[Eubacterium] coprostanoligenes group;
e5e9db99190ff26c5907fd262b345e72	Bacteria;Firmicutes;Clostridia;Oscillospirales;[Eubacterium] coprostanoligenes group;
1125bee6088effff76d92e8086b4c19f	Bacteria;Firmicutes;Clostridia;Oscillospirales;[Eubacterium] coprostanoligenes group;
ea0f28541673a21c9419397889a71458	Bacteria;Firmicutes;Clostridia;Oscillospirales;[Eubacterium] coprostanoligenes group;
7561963dd14e9fa434d2bd632f4cfdf8	Bacteria;Firmicutes;Clostridia;Oscillospirales;[Eubacterium] coprostanoligenes group;
06725a1db5b8ae571a335d9b517bca7a	Bacteria;Firmicutes;Clostridia;Oscillospirales;[Eubacterium] coprostanoligenes group;
9a58ce5ef9fd2f2cc91a6db2e3e5c908	Bacteria;Firmicutes;Clostridia;Oscillospirales;[Eubacterium] coprostanoligenes group;
c7f4bebf1bc61f78537bd75942c6c014	Bacteria;Firmicutes;Clostridia;Oscillospirales;[Eubacterium] coprostanoligenes group;
f772616af23b42f1192f3900cdad61ec	Bacteria;Firmicutes;Clostridia;Oscillospirales;[Eubacterium] coprostanoligenes group;
9245da06584c017e13edf450ef0b2b76	Bacteria;Firmicutes;Clostridia;Oscillospirales;[Eubacterium] coprostanoligenes group;
26032627fb162cccb0476ddd469d4dd2	Bacteria;Firmicutes;Clostridia;Oscillospirales;[Eubacterium] coprostanoligenes group;
2b60bf862651f6222f0495b4feb9d43b	Bacteria;Firmicutes;Clostridia;Oscillospirales;[Eubacterium] coprostanoligenes group;
786f6df6cc5e0ace1c2d93344fecfb10	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Eubacterium] fissicatena group
9948e496187c7b656fe0be3652757d2f	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Eubacterium] hallii group
e383f6b76a6a78ac424c417826abe481	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Eubacterium] hallii group
fa53a4ae36c3669e13337ce01dbdb861	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Eubacterium] hallii group
563119954aff72320dba3c0fbcf5fab8	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;[Eubacterium] nodatum group
12799b726e51ea45eac60d4f5195f468	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Eubacterium] ruminantium group
b7949333801ff58e97e7b2a91fdea8ad	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Eubacterium] ruminantium group
db48c72fa325e8aa194c55e94d90c4c3	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Eubacterium] ruminantium group
5a97e6bb962645eb33630375480636a8	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Eubacterium] ruminantium group
75712e90cf0446baf6ce7824cfffb4b3	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;[Eubacterium] siraeum group
5f82e70dce89c8b5d3dbf047175b84c1	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;[Eubacterium] siraeum group
f1fc808a6bc7a15b3ae208d47866213b	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;[Eubacterium] siraeum group
dcc945af474fee1c2925abf5735f085b	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;[Eubacterium] siraeum group
08ad39f7c7165a2fa441c180361fdc05	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Eubacterium] xylanophilum group
34910b3754c49806d86235e169d79210	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Eubacterium] xylanophilum group
670b2713e85692ef49c9e7901c3aa0b6	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Eubacterium] xylanophilum group
5da38f6dd2fdf4f0100356f81d0db53a	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Eubacterium] xylanophilum group
aaf7e2d4accaff2dfb6faf31ca4e8307	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Eubacterium] xylanophilum group
07e4650090fa0461877e4feddf200c6b	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Eubacterium] xylanophilum group
10fe03c13de94bfc4782d2e3b4c5675e	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Eubacterium] xylanophilum group
2871c48e607967b720f090316a2ee958	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Eubacterium] xylanophilum group
77ed5faba05885635f5409434a16169b	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Ruminococcus] gauvreauii group
36e9d705cd980d5147dcf5c42a49932a	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Ruminococcus] torques group
adb656a72aa80486ecdbc3b86d6ee229	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Ruminococcus] torques group
d57e14dce9774cbb6de7eef4f80c83e3	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Ruminococcus] torques group
a33af13a01847ee91a590dedd1f879e3	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Ruminococcus] torques group
125388b4750a87f682688f91e25d6e67	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;A2
ca8333b526254f33eccba4eea8b685de	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;A2
1f45cdb4db5ad6354477915186f633f9	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Acetitomaculum
243ad510b2a08083a01466a6984cbb99	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter
b5306e25be90e0235a7c07418b31d5bd	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter
a21463e7f09e30cd1a22ddb77596a3a7	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter
13ed6635e337e96296acb0d378930891	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter
e061c7daecc56b427bf8c22e6d1d107f	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter
e095cb9c3c8bb1902c619d89dc87256e	Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Actinobacillus
7d2e2fca176d25f1ceb892bed1ef4f8d	Bacteria;Actinobacteriota;Actinobacteria;;;
fdc1a7c3ebe3c43c9205147181cadf6b	Bacteria;Actinobacteriota;Actinobacteria;;;
6cfcb015a00c6f3fb16e6eec63f4a35c	Bacteria;Actinobacteriota;Actinobacteria;;;
c35a18d037e781d5aac5607f718026b6	Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Aerococcus
bf0d7a085f85a61dd0af64048773a9ca	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Agathobacter
31f232781685558bf9d62e35e8f237f9	Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;Akkermansia
e5df9e0ff227a0a5538dd58cecc5e5be	Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;Akkermansia
12053dae2c9b5cbfad4d19988f9c7f50	Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;Akkermansia
29f3b11febb15590ac6bb87231333e98	Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;Akkermansia
df630032e8421d11bf25a41f7be6317b	Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;Akkermansia
c1cbb0044c66eb9a9bb9437fadbd2046	Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;Akkermansia
f5eb4d6069cf079d03904d80028b2f0f	Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;Akkermansia
d2fb9ec8534758d88b8e6d3764278d0b	Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;Akkermansia
85b3260cd74255528331f46f55c13a0f	Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;Akkermansia
cb2f30c9785d110e84b65c4159cfe66b	Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;Akkermansia
c0eeb3ae91ea186bd234021fe81ae4d5	Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;Akkermansia
bbf010f36396a4b014fa932e2ff35bca	Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;Akkermansia
702f66522287dc870c3ba491c9f03ef3	Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;Akkermansia
31f2dc6b39f348a41bdff8c141bb39bd	Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Aliicoccus
87895d0857bc40328b2fe84d4844bf88	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes
be093bb8f72e4e1ebeac5a91eefca1ee	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes
f8a928e325175c9d9f9610ed6384fce1	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes
054bc262c4f3a3db142b3e0ba87787a5	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes
998c1a929d9f6f4bc348b19634cd9b78	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes
7b93a66e21c37a55a3e2d23c753831aa	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes
5a9e5f6a607408671e81af5944034e47	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes
dd64af6543687b815496d87874f6133c	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes
2c94f54a6ed95a30b5ff352b65c5220d	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes
7bc86a3719fb1164c174f88621c5d891	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes
7fea65d2771b96ae1c358acdcffbb735	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes
371f759cc1c85a28c6386438fa09ef0e	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes
821000f36ec13b91ed771e17276396bd	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes
0e0a3f3d4e5c0928dcf71f221541ccf9	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes
