rank	taxid	taxon	taxonomy_rank	taxonomy_standard	D	P	C	O	F	G	taxon_taxid
U	0	unclassified	U__unclassified	;;;;;							unclassified (taxid 0)
R	1	root	R__root	;;;;;							root (taxid 1)
D	3	Bacteria	R__root;D__Bacteria	Bacteria;;;;;	Bacteria						Bacteria (taxid 3)
P	43868	Bacteroidota	R__root;D__Bacteria;P__Bacteroidota	Bacteria;Bacteroidota;;;;	Bacteria	Bacteroidota					Bacteroidota (taxid 43868)
C	43869	Bacteroidia	R__root;D__Bacteria;P__Bacteroidota;C__Bacteroidia	Bacteria;Bacteroidota;Bacteroidia;;;	Bacteria	Bacteroidota	Bacteroidia				Bacteroidia (taxid 43869)
O	43870	Bacteroidales	R__root;D__Bacteria;P__Bacteroidota;C__Bacteroidia;O__Bacteroidales	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;;	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales			Bacteroidales (taxid 43870)
F	43927	Muribaculaceae	R__root;D__Bacteria;P__Bacteroidota;C__Bacteroidia;O__Bacteroidales;F__Muribaculaceae	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae		Muribaculaceae (taxid 43927)
G	43929	Muribaculum	R__root;D__Bacteria;P__Bacteroidota;C__Bacteroidia;O__Bacteroidales;F__Muribaculaceae;G__Muribaculum	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Muribaculum	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculum	Muribaculum (taxid 43929)
F	43940	Prevotellaceae	R__root;D__Bacteria;P__Bacteroidota;C__Bacteroidia;O__Bacteroidales;F__Prevotellaceae	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae		Prevotellaceae (taxid 43940)
G	43943	Prevotella	R__root;D__Bacteria;P__Bacteroidota;C__Bacteroidia;O__Bacteroidales;F__Prevotellaceae;G__Prevotella	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella (taxid 43943)
G	43945	Prevotellaceae NK3B31 group	R__root;D__Bacteria;P__Bacteroidota;C__Bacteroidia;O__Bacteroidales;F__Prevotellaceae;G__Prevotellaceae NK3B31 group	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellaceae NK3B31 group	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellaceae NK3B31 group	Prevotellaceae NK3B31 group (taxid 43945)
G	43947	Prevotellaceae UCG-003	R__root;D__Bacteria;P__Bacteroidota;C__Bacteroidia;O__Bacteroidales;F__Prevotellaceae;G__Prevotellaceae UCG-003	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellaceae UCG-003	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellaceae UCG-003	Prevotellaceae UCG-003 (taxid 43947)
G	43941	Alloprevotella	R__root;D__Bacteria;P__Bacteroidota;C__Bacteroidia;O__Bacteroidales;F__Prevotellaceae;G__Alloprevotella	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Alloprevotella	Alloprevotella (taxid 43941)
G	43946	Prevotellaceae UCG-001	R__root;D__Bacteria;P__Bacteroidota;C__Bacteroidia;O__Bacteroidales;F__Prevotellaceae;G__Prevotellaceae UCG-001	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellaceae UCG-001	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellaceae UCG-001	Prevotellaceae UCG-001 (taxid 43946)
G	43944	Prevotellaceae Ga6A1 group	R__root;D__Bacteria;P__Bacteroidota;C__Bacteroidia;O__Bacteroidales;F__Prevotellaceae;G__Prevotellaceae Ga6A1 group	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellaceae Ga6A1 group	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellaceae Ga6A1 group	Prevotellaceae Ga6A1 group (taxid 43944)
G	43950	uncultured	R__root;D__Bacteria;P__Bacteroidota;C__Bacteroidia;O__Bacteroidales;F__Prevotellaceae;G__uncultured	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;uncultured	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	uncultured	uncultured (taxid 43950)
G	43948	Prevotellaceae UCG-004	R__root;D__Bacteria;P__Bacteroidota;C__Bacteroidia;O__Bacteroidales;F__Prevotellaceae;G__Prevotellaceae UCG-004	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellaceae UCG-004	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellaceae UCG-004	Prevotellaceae UCG-004 (taxid 43948)
F	43964	Rikenellaceae	R__root;D__Bacteria;P__Bacteroidota;C__Bacteroidia;O__Bacteroidales;F__Rikenellaceae	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae		Rikenellaceae (taxid 43964)
G	43965	Alistipes	R__root;D__Bacteria;P__Bacteroidota;C__Bacteroidia;O__Bacteroidales;F__Rikenellaceae;G__Alistipes	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes (taxid 43965)
G	43972	Rikenellaceae RC9 gut group	R__root;D__Bacteria;P__Bacteroidota;C__Bacteroidia;O__Bacteroidales;F__Rikenellaceae;G__Rikenellaceae RC9 gut group	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Rikenellaceae RC9 gut group	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae RC9 gut group	Rikenellaceae RC9 gut group (taxid 43972)
G	43976	dgA-11 gut group	R__root;D__Bacteria;P__Bacteroidota;C__Bacteroidia;O__Bacteroidales;F__Rikenellaceae;G__dgA-11 gut group	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;dgA-11 gut group	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	dgA-11 gut group	dgA-11 gut group (taxid 43976)
F	43873	Bacteroidaceae	R__root;D__Bacteria;P__Bacteroidota;C__Bacteroidia;O__Bacteroidales;F__Bacteroidaceae	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae		Bacteroidaceae (taxid 43873)
G	43874	Bacteroides	R__root;D__Bacteria;P__Bacteroidota;C__Bacteroidia;O__Bacteroidales;F__Bacteroidaceae;G__Bacteroides	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides (taxid 43874)
F	43985	Tannerellaceae	R__root;D__Bacteria;P__Bacteroidota;C__Bacteroidia;O__Bacteroidales;F__Tannerellaceae	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae		Tannerellaceae (taxid 43985)
G	43988	Parabacteroides	R__root;D__Bacteria;P__Bacteroidota;C__Bacteroidia;O__Bacteroidales;F__Tannerellaceae;G__Parabacteroides	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides (taxid 43988)
G	43986	Candidatus Vestibaculum	R__root;D__Bacteria;P__Bacteroidota;C__Bacteroidia;O__Bacteroidales;F__Tannerellaceae;G__Candidatus Vestibaculum	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Candidatus Vestibaculum	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Candidatus Vestibaculum	Candidatus Vestibaculum (taxid 43986)
F	43906	Marinifilaceae	R__root;D__Bacteria;P__Bacteroidota;C__Bacteroidia;O__Bacteroidales;F__Marinifilaceae	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Marinifilaceae;	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae		Marinifilaceae (taxid 43906)
G	43909	Odoribacter	R__root;D__Bacteria;P__Bacteroidota;C__Bacteroidia;O__Bacteroidales;F__Marinifilaceae;G__Odoribacter	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Marinifilaceae;Odoribacter	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Odoribacter	Odoribacter (taxid 43909)
G	43907	Butyricimonas	R__root;D__Bacteria;P__Bacteroidota;C__Bacteroidia;O__Bacteroidales;F__Marinifilaceae;G__Butyricimonas	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Marinifilaceae;Butyricimonas	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Butyricimonas	Butyricimonas (taxid 43907)
F	44000	p-2534-18B5 gut group	R__root;D__Bacteria;P__Bacteroidota;C__Bacteroidia;O__Bacteroidales;F__p-2534-18B5 gut group	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;p-2534-18B5 gut group;	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	p-2534-18B5 gut group		p-2534-18B5 gut group (taxid 44000)
