Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
HB1_1	55.98131518835886	34.50103334501638
HB1_2	55.528697985279365	33.34078630908495
HB2_1	65.64278015890919	25.86034037646941
HB2_2	65.32822016692984	24.15093866706775
HB3_1	55.03640986114786	36.07509749559976
HB3_2	55.09220380319119	34.77343057968179
HB4_1	71.85136816961621	20.041745497569437
HB4_2	71.97526523459518	18.54828357917414
HB5_1	60.73851649405447	30.933544303797483
HB5_2	60.655207134637514	28.944907940161137
N1_1	20.318092775209628	69.0936131721042
N1_2	19.425191038795997	68.79005987824574
N2_1	28.764021128606725	61.28634616779058
N2_2	26.78279591483855	61.25343730303489
N3_1	31.383553940652302	60.42639934250366
N3_2	31.5403581624708	57.39304870663551
N4_1	30.63866298589868	61.91275585068017
N4_2	29.201173866547293	61.10385734537043
N5_1	35.76145723720019	54.36638968516036
N5_2	36.61840657014647	50.29935774157263
