Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
HB1_1	2.1210766125620912	0.48464485563384535	0.2610555830845651	0.1957916873134238	0.09668725299428337	0.14140510750413943	0.09729154832549763	0.11602470359314003	0.07070255375206971	2.592426970909223	1.4986524214113923	7.569403318789959	3.5163945323358434	13.53621541919967	11.720912244232002	55.98131518835886
HB1_2	2.18029755502109	0.5317798914685585	0.31544216289384946	0.20304323128799506	0.1601382627717818	0.16315973942785317	0.1353621541919967	0.14503087949142504	0.13052779154228256	2.931436651720429	2.2316626581743026	9.224568230985847	6.0550392187669955	16.35162736732696	3.7121862196492668	55.528697985279365
HB2_1	1.839110710078452	0.3997794320374966	0.22558087074216107	0.13284206832593928	0.14412111186304735	0.1503872471614407	0.1052710730130085	0.08020653181943505	0.09023234829686443	2.69067849713011	1.5264305586886233	6.921573050605309	1.183046344336667	13.86695741534451	5.001002581647743	65.64278015890919
HB2_2	1.9600471213374442	0.42609720029074866	0.2518986389954132	0.1729453342356568	0.15352031481063738	0.20678246484698098	0.12720254655738528	0.1002581647742938	0.1071509136025265	2.9200190490513074	2.2313707797578766	7.123342607213575	2.6493220041607137	11.349224252450059	4.892598440985537	65.32822016692984
HB3_1	2.0942860101004293	0.4544042702497498	0.22950291624006353	0.22547654928848343	0.14092284330530214	0.13114452356575057	0.10065917378950154	0.08742968237716704	0.08800487765596421	2.4744900893853465	1.418431557513776	6.937430257572445	2.282374866267098	18.638627814142904	3.10375372438943	61.59306084415659
HB3_2	2.1270721409918667	0.46935934749847574	0.29680076385933024	0.19786717590622016	0.16105467806320245	0.11388866520183603	0.11676464159582178	0.1380468669113164	0.09318163516513857	2.898984205137644	1.5886893600377328	8.588815902999068	4.936325882637155	15.150643643516974	8.030301287287035	55.09220380319119
HB4_1	1.7457208074516828	0.36276167674027937	0.24779412995797548	0.15403418889279555	0.10603802858562011	0.11050278768396202	0.07422662000993409	0.0714361455734704	0.09041137174142348	2.375251840317891	1.5258314218583444	6.481714021017853	3.222997974115559	11.57991081643701	0.0	71.85136816961621
HB4_2	1.7568827051975378	0.38731785178115985	0.20761129807289835	0.15403418889279555	0.13115229851379331	0.0937599410651799	0.08985327685413073	0.0803656637701542	0.13561705761213522	2.691691641412873	2.1419681774295265	7.557162868830959	3.4836282864812675	9.113689509490404	0.0	71.97526523459518
HB5_1	1.9688578826237053	0.437523973916379	0.24453394706559264	0.1606252397391638	0.16482067510548523	0.14024741081703107	0.09649501342539318	0.10069044879171463	0.08630609896432681	2.5184599156118144	1.5840765247410817	7.161608170310702	3.544543536632144	17.28099827387802	3.7716963943229764	60.73851649405447
HB5_2	1.9340957038741848	0.46029919447640966	0.31645569620253167	0.19179133103183738	0.1678174146528577	0.16901611047180667	0.15523110855389335	0.14384349827387802	0.16182393555811278	2.952387802071346	2.230173571154584	7.969529152282318	4.114523398542386	11.200613732259301	7.1771912159570395	60.655207134637514
N1_1	2.246405362959839	0.5527222681590908	0.34628383065388824	0.2419547278286783	0.20532855343259396	0.1864605241982475	0.16315295867346655	0.18202098790781304	0.14983434980216315	2.4256516406861306	1.6981226310911826	5.835770453776103	6.898484453298853	19.546723344746642	9.427910254773888	49.89317365801142
N1_2	2.486695264679604	0.6681502117103869	0.3995582661391018	0.2952291633138919	0.26082275706302477	0.17647156754476995	0.17092214718172688	0.17314191532694412	0.17480674143585703	2.9933573438254375	1.8529514592200844	9.50171754560236	8.146549092947241	15.941264934877552	11.412382976598094	45.34597861253392
N2_1	2.0933384648851256	0.5220796171416141	0.3597664028379713	0.25211537067095036	0.20358873959047985	0.1807198674720972	0.23036205329004983	0.191875414846918	0.1355399006040729	2.3404338392374067	1.5695855156372884	6.301768712036278	4.638476598450494	20.02922753412203	8.119007379394588	52.832114589782634
N2_2	2.356609382930897	0.6726795067016951	0.4233530228744499	0.28335090332044865	0.28167757121422554	0.17737320325965095	0.1796043127346151	0.1740265390472047	0.17067987483475844	2.919406747990607	1.6677543325357116	9.775048387186738	8.747064696597	17.892382434475103	7.8289631476492465	46.45002593664765
N3_1	1.824876719439398	0.45959858119214464	0.3130677394238256	0.2292585863829051	0.17843239034518557	0.1881650661821957	0.1362574617181417	0.13842027857081063	0.07786140669608098	2.360714594688122	1.169002508867549	4.61869538887447	3.806016956484125	13.948546587075006	14.088588978285319	56.462496755774715
N3_2	2.2093174150012977	0.578553508088935	0.373085907085388	0.32442252790033743	0.24061337485941692	0.15572281339216196	0.17410675663984773	0.1643740808028376	0.1119257721256164	2.3909940306254867	1.726468552642962	6.265139717968681	5.823384375811056	14.662816852668916	9.006510078726533	55.79256423566052
