Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
HB1_1	97.23655745035714	53.0	226.9897994948091	227	36.36363636363637	165482.0
HB1_2	97.06675046228592	56.0	223.99813877037985	224	36.36363636363637	165482.0
HB2_1	97.57751209364113	53.0	226.99623405268568	227	36.36363636363637	159588.0
HB2_2	97.37574253703286	56.0	223.99823921598116	224	36.36363636363637	159588.0
HB3_1	97.28680386991384	53.0	226.9906243169556	227	36.36363636363637	173854.0
HB3_2	97.18671989140313	55.0	223.9984757325112	224	36.36363636363637	173854.0
HB4_1	97.72185667007105	53.0	226.9963500594371	227	36.36363636363637	179181.0
HB4_2	97.66995384555283	57.0	223.99830897249151	224	36.36363636363637	179181.0
HB5_1	97.41920790180284	53.0	226.9953370732643	227	36.36363636363637	166848.0
HB5_2	97.34548810893747	56.0	223.99822593018794	224	36.36363636363637	166848.0
N1_1	96.97556590214153	51.0	226.9953606845765	227	36.36363636363637	180199.0
N1_2	96.59654049134568	52.0	223.99826858084674	224	36.36363636363637	180199.0
N2_1	97.14752653625831	51.0	226.996145758382	227	36.36363636363637	179283.0
N2_2	96.71971129443394	52.0	223.99824300128847	224	36.36363636363637	179283.0
N3_1	97.50465005623323	51.0	226.99473894800587	227	36.36363636363637	184944.0
N3_2	96.97800415260836	54.0	223.99821567609655	224	36.36363636363637	184944.0
N4_1	97.5297818896267	50.0	226.99593374617623	227	36.36363636363637	160836.0
N4_2	97.24253276629611	52.0	223.99819070357384	224	36.36363636363637	160836.0
N5_1	97.19510867593164	51.0	226.996359326052	227	36.36363636363637	165354.0
N5_2	96.45004051912866	54.0	223.99841552064058	224	36.36363636363637	165354.0
