Module	Section	Sample Name	Source
FastQC	all_sections	N1_1	/media/rodovalhovr/677be1da-60d3-4418-b709-3b9f98fa137e/Data/training/qiime2-HBO_nextflow/work/8f/bb93e35db5c802074aee0758a0a032/13/N1_1_fastqc.zip
FastQC	all_sections	N5_1	/media/rodovalhovr/677be1da-60d3-4418-b709-3b9f98fa137e/Data/training/qiime2-HBO_nextflow/work/8f/bb93e35db5c802074aee0758a0a032/21/N5_1_fastqc.zip
FastQC	all_sections	HB1_2	/media/rodovalhovr/677be1da-60d3-4418-b709-3b9f98fa137e/Data/training/qiime2-HBO_nextflow/work/8f/bb93e35db5c802074aee0758a0a032/4/HB1_2_fastqc.zip
FastQC	all_sections	HB3_1	/media/rodovalhovr/677be1da-60d3-4418-b709-3b9f98fa137e/Data/training/qiime2-HBO_nextflow/work/8f/bb93e35db5c802074aee0758a0a032/7/HB3_1_fastqc.zip
FastQC	all_sections	N1_2	/media/rodovalhovr/677be1da-60d3-4418-b709-3b9f98fa137e/Data/training/qiime2-HBO_nextflow/work/8f/bb93e35db5c802074aee0758a0a032/14/N1_2_fastqc.zip
FastQC	all_sections	HB2_2	/media/rodovalhovr/677be1da-60d3-4418-b709-3b9f98fa137e/Data/training/qiime2-HBO_nextflow/work/8f/bb93e35db5c802074aee0758a0a032/6/HB2_2_fastqc.zip
FastQC	all_sections	HB3_2	/media/rodovalhovr/677be1da-60d3-4418-b709-3b9f98fa137e/Data/training/qiime2-HBO_nextflow/work/8f/bb93e35db5c802074aee0758a0a032/8/HB3_2_fastqc.zip
FastQC	all_sections	HB4_2	/media/rodovalhovr/677be1da-60d3-4418-b709-3b9f98fa137e/Data/training/qiime2-HBO_nextflow/work/8f/bb93e35db5c802074aee0758a0a032/10/HB4_2_fastqc.zip
FastQC	all_sections	HB1_1	/media/rodovalhovr/677be1da-60d3-4418-b709-3b9f98fa137e/Data/training/qiime2-HBO_nextflow/work/8f/bb93e35db5c802074aee0758a0a032/3/HB1_1_fastqc.zip
FastQC	all_sections	N5_2	/media/rodovalhovr/677be1da-60d3-4418-b709-3b9f98fa137e/Data/training/qiime2-HBO_nextflow/work/8f/bb93e35db5c802074aee0758a0a032/22/N5_2_fastqc.zip
FastQC	all_sections	N2_2	/media/rodovalhovr/677be1da-60d3-4418-b709-3b9f98fa137e/Data/training/qiime2-HBO_nextflow/work/8f/bb93e35db5c802074aee0758a0a032/16/N2_2_fastqc.zip
FastQC	all_sections	HB5_2	/media/rodovalhovr/677be1da-60d3-4418-b709-3b9f98fa137e/Data/training/qiime2-HBO_nextflow/work/8f/bb93e35db5c802074aee0758a0a032/12/HB5_2_fastqc.zip
FastQC	all_sections	HB4_1	/media/rodovalhovr/677be1da-60d3-4418-b709-3b9f98fa137e/Data/training/qiime2-HBO_nextflow/work/8f/bb93e35db5c802074aee0758a0a032/9/HB4_1_fastqc.zip
FastQC	all_sections	N3_2	/media/rodovalhovr/677be1da-60d3-4418-b709-3b9f98fa137e/Data/training/qiime2-HBO_nextflow/work/8f/bb93e35db5c802074aee0758a0a032/18/N3_2_fastqc.zip
FastQC	all_sections	N2_1	/media/rodovalhovr/677be1da-60d3-4418-b709-3b9f98fa137e/Data/training/qiime2-HBO_nextflow/work/8f/bb93e35db5c802074aee0758a0a032/15/N2_1_fastqc.zip
FastQC	all_sections	N4_2	/media/rodovalhovr/677be1da-60d3-4418-b709-3b9f98fa137e/Data/training/qiime2-HBO_nextflow/work/8f/bb93e35db5c802074aee0758a0a032/20/N4_2_fastqc.zip
FastQC	all_sections	HB5_1	/media/rodovalhovr/677be1da-60d3-4418-b709-3b9f98fa137e/Data/training/qiime2-HBO_nextflow/work/8f/bb93e35db5c802074aee0758a0a032/11/HB5_1_fastqc.zip
FastQC	all_sections	N3_1	/media/rodovalhovr/677be1da-60d3-4418-b709-3b9f98fa137e/Data/training/qiime2-HBO_nextflow/work/8f/bb93e35db5c802074aee0758a0a032/17/N3_1_fastqc.zip
FastQC	all_sections	N4_1	/media/rodovalhovr/677be1da-60d3-4418-b709-3b9f98fa137e/Data/training/qiime2-HBO_nextflow/work/8f/bb93e35db5c802074aee0758a0a032/19/N4_1_fastqc.zip
FastQC	all_sections	HB2_1	/media/rodovalhovr/677be1da-60d3-4418-b709-3b9f98fa137e/Data/training/qiime2-HBO_nextflow/work/8f/bb93e35db5c802074aee0758a0a032/5/HB2_1_fastqc.zip
