pathway	description	HB1	HB2	HB3	HB4	HB5	N1	N2	N3	N4	N5
1CMET2-PWY	N10-formyl-tetrahydrofolate biosynthesis	40782.02699404456	34004.01774468312	42275.45681471099	36190.52686816551	39333.3535648533	68044.40697109576	65698.87912677665	63824.74942492277	59513.768841381534	52153.31519854639
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	4-hydroxyphenylacetate degradation	15386.248813760823	17707.756012944275	14324.888131774083	22104.55671431545	17935.29963652775	3111.1695299690823	1778.122954019576	3966.64440472762	2712.2326040423563	1982.606373203493
AEROBACTINSYN-PWY	aerobactin biosynthesis	218.1813665315576	115.99158131234076	7399.262699705749	131.95526770946944	257.39925259070986	130.93044882951065	0.0	694.8109249342348	105.96047276384664	2.43
ALL-CHORISMATE-PWY	superpathway of chorismate metabolism	26983.24500320801	26586.15199604986	27166.77462550497	29433.500809088164	27533.20834470717	23201.678837127216	20644.650222219327	25706.14190726612	23907.064675344227	19741.697212825344
ANAEROFRUCAT-PWY	homolactic fermentation	50600.11565256301	42684.9913754145	49017.19192758378	47986.7529495474	54730.49749275814	81806.71614483648	71555.03974512128	63468.73942024659	57803.05719359031	50680.39599006278
ANAGLYCOLYSIS-PWY	glycolysis III (from glucose)	54675.96690425526	45699.8686330687	56289.51343371376	48753.02300940696	55221.27500378794	88655.93746645613	83234.05919800334	79336.26133253312	74249.204128935	64523.43624826506
ARG+POLYAMINE-SYN	superpathway of arginine and polyamine biosynthesis	25998.74900962971	24110.93013859872	24686.01808459592	27008.95913085647	25485.03609298423	21822.49392453667	23486.32314677327	18246.613318187658	19495.453558699875	15639.43749800069
ARGDEG-PWY	superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	15825.9582630964	17380.304836032778	11328.829040132525	20553.915992868177	18060.65906880904	9651.613028464177	10248.567841092528	9437.125929132748	10070.274871727155	6308.378170022165
ARGORNPROST-PWY	arginine, ornithine and proline interconversion	2981.5110933437977	2475.700622668907	6237.734786772473	3316.306385420345	5057.004477481715	7973.124294316954	6132.655644090077	6742.032864118138	4486.476188538867	2986.4530672537608
ARGSYN-PWY	L-arginine biosynthesis I (via L-ornithine)	40298.499844829	32994.90315062804	40863.94625321	32369.6010560606	33874.82012152859	53184.93217674563	53648.50718282163	56802.05529283446	49655.328274514846	50261.58465307458
ARGSYNBSUB-PWY	L-arginine biosynthesis II (acetyl cycle)	40164.686057285166	31759.130514289885	40781.21348662471	32501.636867350782	33224.19913631909	52569.36091181338	52050.934405986205	60464.09360089285	48547.91828974262	53872.38066498985
ARO-PWY	chorismate biosynthesis I	49936.1098311793	40814.52959283455	47737.91472453239	42633.67829100659	42161.68522604013	64019.34432962133	65780.05749201651	65674.25128197113	59729.75963411416	54723.57025531399
ASPASN-PWY	superpathway of L-aspartate and L-asparagine biosynthesis	53359.25693318415	42538.44200397148	50938.43407299432	36387.88873473231	39785.36320215719	71761.6240073504	73797.22244429674	52882.52843536156	58280.45901039634	46365.71117995396
AST-PWY	L-arginine degradation II (AST pathway)	13480.56592545368	14643.243738223797	16328.430971472351	18874.647454469017	15763.700685408114	7259.99739109764	7101.13	7769.355946410276	7342.327173257057	4761.85
BIOTIN-BIOSYNTHESIS-PWY	biotin biosynthesis I	31414.12194404019	30728.426171787	37540.827164777365	32974.217146141695	32405.225484967377	30203.951979661306	25293.407403351757	32862.576240023925	26028.04548466037	20636.577134708303
BRANCHED-CHAIN-AA-SYN-PWY	superpathway of branched amino acid biosynthesis	46322.24009189972	39493.83329073802	46732.89374520233	39865.43631869417	41391.37518754037	72839.68354729784	74676.15672486735	72347.49364564117	67544.49686763872	59913.32147075551
CALVIN-PWY	Calvin-Benson-Bassham cycle	70045.05952682697	60187.85978907576	60255.94280810378	66748.88905828282	66818.98462957388	85028.04105303694	87732.40836516643	74513.33573712509	73449.97939610657	59584.40554836781
CATECHOL-ORTHO-CLEAVAGE-PWY	catechol degradation to &beta;-ketoadipate	11643.052554987888	13642.945791940196	5140.816105072351	17008.8123553976	13791.316600060689	1473.9831553424465	267.30442873758614	3413.484885651874	1098.0430335051	878.694291237875
CENTFERM-PWY	pyruvate fermentation to butanoate	13090.229966407343	6490.18446452121	12916.384123179512	6682.205993296724	7765.172626371329	16453.340954204054	14028.20375839418	13115.43492732434	7788.058949248172	10779.038002029878
CHLOROPHYLL-SYN	chlorophyllide a biosynthesis I (aerobic, light-dependent)	0.0	6.982775486935121	6.9918123513740325	0.0	6.984957341838568	5.593184390112557	0.0	0.0	0.0	0.0
COA-PWY	coenzyme A biosynthesis I	43223.190729515554	34449.42648042501	44606.96757658231	35749.6027604306	41298.8272006446	74411.93944473636	69008.11033479734	70394.47721577586	63259.93897398193	57798.40976929928
COBALSYN-PWY	adenosylcobalamin salvage from cobinamide I	29293.918946061025	23812.86762655274	22730.329440938003	26853.47534591495	24165.539563457947	42563.82365418351	46344.05176448153	43190.67317556703	43799.66019698358	37172.3710697439
CODH-PWY	reductive acetyl coenzyme A pathway	7656.50965346003	3673.5347978448026	5935.787752376239	621.914405380783	784.607689834548	4667.474520953064	7549.843481346595	4468.413708669574	5483.800199746413	4756.984656285929
COLANSYN-PWY	colanic acid building blocks biosynthesis	26617.576508143426	23881.821662123828	35417.41857705936	18447.425941519577	27228.14821873154	51557.05978080255	45685.49209606229	49482.09761293724	46248.02718347673	39203.97963807808
