pathway	HB1	HB2	HB3	HB4	HB5	N1	N2	N3	N4	N5
1CMET2-PWY	40782.02699404456	34004.01774468312	42275.45681471099	36190.52686816551	39333.3535648533	68044.40697109576	65698.87912677665	63824.74942492277	59513.768841381534	52153.31519854639
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	15386.248813760825	17707.756012944275	14324.888131774083	22104.55671431545	17935.29963652775	3111.1695299690823	1778.122954019576	3966.6444047276195	2712.2326040423563	1982.606373203493
AEROBACTINSYN-PWY	218.1813665315576	115.99158131234076	7399.262699705749	131.95526770946944	257.39925259070986	130.93044882951065	0.0	694.8109249342348	105.96047276384664	2.43
ALL-CHORISMATE-PWY	26983.24500320801	26586.15199604986	27166.77462550497	29433.500809088164	27533.20834470717	23201.678837127216	20644.650222219327	25706.14190726612	23907.064675344227	19741.697212825344
ANAEROFRUCAT-PWY	50600.115652563014	42684.9913754145	49017.19192758378	47986.7529495474	54730.49749275814	81806.71614483648	71555.03974512128	63468.73942024659	57803.057193590306	50680.39599006278
ANAGLYCOLYSIS-PWY	54675.96690425526	45699.8686330687	56289.513433713764	48753.02300940696	55221.27500378794	88655.93746645613	83234.05919800334	79336.26133253312	74249.204128935	64523.43624826506
ARG+POLYAMINE-SYN	25998.74900962971	24110.93013859872	24686.018084595922	27008.95913085647	25485.03609298423	21822.49392453667	23486.32314677327	18246.613318187658	19495.453558699875	15639.43749800069
ARGDEG-PWY	15825.958263096401	17380.304836032778	11328.829040132525	20553.915992868177	18060.659068809036	9651.613028464175	10248.567841092528	9437.125929132748	10070.274871727155	6308.378170022165
ARGORNPROST-PWY	2981.5110933437977	2475.700622668907	6237.734786772473	3316.306385420345	5057.004477481715	7973.124294316954	6132.655644090077	6742.032864118138	4486.476188538867	2986.4530672537608
ARGSYN-PWY	40298.499844829	32994.90315062804	40863.94625321	32369.6010560606	33874.82012152859	53184.93217674563	53648.50718282163	56802.05529283446	49655.328274514846	50261.58465307458
ARGSYNBSUB-PWY	40164.686057285166	31759.130514289885	40781.21348662471	32501.636867350786	33224.19913631909	52569.36091181338	52050.934405986205	60464.09360089285	48547.91828974262	53872.38066498985
ARO-PWY	49936.1098311793	40814.52959283455	47737.91472453239	42633.67829100659	42161.68522604013	64019.34432962133	65780.05749201651	65674.25128197113	59729.75963411416	54723.570255313985
ASPASN-PWY	53359.25693318415	42538.442003971475	50938.434072994314	36387.88873473231	39785.36320215719	71761.6240073504	73797.22244429674	52882.52843536156	58280.45901039634	46365.71117995396
AST-PWY	13480.565925453679	14643.243738223795	16328.430971472351	18874.647454469017	15763.700685408114	7259.9973910976405	7101.13	7769.355946410276	7342.327173257057	4761.85
BIOTIN-BIOSYNTHESIS-PWY	31414.12194404019	30728.426171786996	37540.827164777365	32974.217146141695	32405.225484967377	30203.951979661302	25293.407403351754	32862.576240023925	26028.045484660375	20636.577134708303
BRANCHED-CHAIN-AA-SYN-PWY	46322.24009189972	39493.83329073802	46732.89374520233	39865.43631869417	41391.37518754037	72839.68354729784	74676.15672486735	72347.49364564117	67544.49686763872	59913.32147075551
CALVIN-PWY	70045.05952682697	60187.85978907576	60255.942808103784	66748.88905828282	66818.98462957388	85028.04105303694	87732.40836516643	74513.33573712509	73449.97939610657	59584.40554836781
CATECHOL-ORTHO-CLEAVAGE-PWY	11643.052554987888	13642.945791940196	5140.816105072351	17008.8123553976	13791.316600060689	1473.9831553424465	267.30442873758614	3413.484885651874	1098.0430335050999	878.694291237875
CENTFERM-PWY	13090.229966407343	6490.18446452121	12916.384123179512	6682.205993296724	7765.172626371329	16453.340954204054	14028.20375839418	13115.43492732434	7788.058949248172	10779.038002029878
CHLOROPHYLL-SYN	0.0	6.982775486935121	6.9918123513740325	0.0	6.984957341838568	5.593184390112557	0.0	0.0	0.0	0.0
COA-PWY	43223.190729515554	34449.42648042501	44606.967576582305	35749.6027604306	41298.8272006446	74411.93944473636	69008.11033479734	70394.47721577586	63259.93897398193	57798.40976929928
COBALSYN-PWY	29293.918946061025	23812.86762655274	22730.329440938003	26853.47534591495	24165.539563457947	42563.82365418351	46344.05176448153	43190.67317556703	43799.66019698358	37172.3710697439
CODH-PWY	7656.50965346003	3673.5347978448026	5935.787752376239	621.914405380783	784.607689834548	4667.474520953064	7549.843481346595	4468.413708669574	5483.800199746413	4756.984656285929
COLANSYN-PWY	26617.576508143422	23881.821662123828	35417.41857705936	18447.425941519577	27228.14821873154	51557.05978080255	45685.49209606229	49482.09761293724	46248.02718347673	39203.979638078075
COMPLETE-ARO-PWY	51165.11198654396	42152.53371135839	49453.23118361663	43982.92569036529	43633.51206029948	67189.29143998752	68849.33451067847	69658.83134371482	63273.83949143616	58049.68926949
CRNFORCAT-PWY	713.1831123339105	3580.481422741566	2194.714600620393	4502.198381399082	4720.450528172884	980.080612416381	178.16760443784185	1137.1769770605797	781.1459924926122	198.74616040794143
DAPLYSINESYN-PWY	42890.67269639883	35540.09309671444	39991.58485592317	39672.22154935273	39556.219954074135	53936.12442000573	52568.50144888514	52307.06662012511	44492.70270435946	44223.84769135632
DENITRIFICATION-PWY	39.813590334846424	78.18883645240032	233.06186997937104	73.20785983380453	109.41378642894803	127.01964583634829	0.0	149.85915492957747	83.03048182424531	0.0
DENOVOPURINE2-PWY	43541.53343447197	37969.83476705104	45096.120274143745	37410.20576731033	42296.71345847489	74323.66428901617	69399.51122315846	69666.39276612108	63914.19636685095	56951.858183182005
DHGLUCONATE-PYR-CAT-PWY	17.139364654226718	788.9074962467495	1424.6354305872312	1015.1110577695267	1214.8774613551757	1072.3395253462058	0.0	1143.4623508138545	749.2529473439531	0.0
DTDPRHAMSYN-PWY	34833.046662311004	25621.01260989556	42799.297870649134	23078.734665657565	30669.832249669973	70276.31467479673	67093.07558996967	64921.67482492752	61330.40491699655	57033.84910843026
ECASYN-PWY	15389.75831949541	17070.895087498884	15325.208644209499	20224.59438129358	18045.439700700495	9260.949734043612	10424.200832265984	8185.982594631577	9887.531703432944	6116.423624391241
ENTBACSYN-PWY	32900.028208717944	33511.577220394574	22767.649078702678	39871.3951476322	37136.4422523545	19005.588131953165	16755.57050338071	21657.44571325554	18404.326505762692	15745.348420924556
FAO-PWY	30965.34407757522	34090.86310533013	32649.770361674455	38671.01809180554	34593.014605834804	19014.297092182307	18986.468259753434	21094.574414817114	18999.395151818124	11641.421614988662
FASYN-ELONG-PWY	53699.800591833846	49998.476951587436	52565.82298908823	46458.35322243356	51729.794468644126	83692.3504484311	81381.40001518426	79451.64918910325	76307.0553309397	63042.97626838013
FASYN-INITIAL-PWY	26945.340722540146	27559.911046638746	37090.421735306	32138.584891237802	30045.912449333668	19586.42040582906	16085.076218532271	21948.486855003186	17441.98995880729	12461.718561540156
FERMENTATION-PWY	45548.842510558665	43422.50224010819	44976.1512715297	45080.213649077254	46779.07552793795	60904.421684916255	52688.85969024602	45369.777422694424	42360.701201421325	36884.955416783996
FOLSYN-PWY	43582.79496549786	36358.941170761325	45792.2337794885	37090.29047838065	39509.8497594942	64949.708508731244	64288.88480149599	63686.219711615755	60608.07424023284	49674.43405381678
FUC-RHAMCAT-PWY	16683.490095835783	17945.82230321147	15438.139846868582	19798.079967666905	17787.96901817034	18156.425842632114	15821.203618477304	20379.81703298872	17100.84004930806	17704.350574460306
FUCCAT-PWY	15408.962276263865	16127.08407384136	14587.63155841908	18892.134633758204	15392.076706423166	14975.990982840918	12705.570470087005	26121.058579011507	18540.4485606485	25522.668355681988
GALACT-GLUCUROCAT-PWY	31567.471820353127	30928.996750687034	26297.667002080503	34801.961025993776	31611.84119760483	24680.081523032422	27766.78427409123	22028.622892610223	20830.809026223036	18244.388287767448
GALACTARDEG-PWY	14083.478379438646	16171.574786136069	13467.124383120836	19726.771703541315	16109.531427616974	3883.373860019262	2396.087401886779	4389.970806865669	3591.404236320528	2335.2937371506628
