task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	77/87ab2e	10547	NFCORE_AMPLISEQ:AMPLISEQ:METADATA_PAIRWISE (metadata.tsv)	COMPLETED	0	2024-04-03 10:41:04.895	724ms	0ms	724.1%	3.6 MB	47.3 MB	6 MB	1.2 KB
3	9b/0ad6b9	10831	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (HB1)	COMPLETED	0	2024-04-03 10:41:05.293	710ms	16ms	38.5%	0	0	14.4 MB	14.3 MB
5	54/60572e	10999	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (HB2)	COMPLETED	0	2024-04-03 10:41:05.689	584ms	10ms	66.7%	2.8 MB	3.9 MB	13.4 MB	13.3 MB
7	32/f8423b	11392	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (HB3)	COMPLETED	0	2024-04-03 10:41:06.142	796ms	12ms	74.1%	2.8 MB	3.9 MB	15.3 MB	15.2 MB
9	ec/974505	11682	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (HB4)	COMPLETED	0	2024-04-03 10:41:06.584	730ms	12ms	62.5%	2.8 MB	3.9 MB	14.7 MB	14.6 MB
11	6e/8ca166	12139	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (HB5)	COMPLETED	0	2024-04-03 10:41:07.318	478ms	10ms	71.4%	2.8 MB	3.9 MB	14.3 MB	14.2 MB
13	6d/c51693	12415	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (N1)	COMPLETED	0	2024-04-03 10:41:07.798	408ms	13ms	142.9%	2.8 MB	3.9 MB	16.3 MB	16.2 MB
15	96/27a3a0	12696	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (N2)	COMPLETED	0	2024-04-03 10:41:08.210	520ms	13ms	114.3%	2.7 MB	3.9 MB	16.1 MB	16 MB
17	04/735ee2	12968	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (N3)	COMPLETED	0	2024-04-03 10:41:08.733	401ms	11ms	74.1%	2.8 MB	3.9 MB	15.9 MB	15.7 MB
19	da/7b8268	13245	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (N4)	COMPLETED	0	2024-04-03 10:41:09.135	410ms	9ms	76.9%	2.7 MB	3.9 MB	13.4 MB	13.3 MB
6	c3/223d9f	11330	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (HB1)	COMPLETED	0	2024-04-03 10:41:06.015	3.9s	3s	177.3%	854.2 MB	6.1 GB	26.7 MB	5.4 MB
21	f8/d079a8	13514	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (N5)	COMPLETED	0	2024-04-03 10:41:09.547	570ms	10ms	74.1%	2.8 MB	3.9 MB	14.5 MB	14.4 MB
8	ff/8056a7	11477	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (HB2)	COMPLETED	0	2024-04-03 10:41:06.288	4s	4s	174.2%	1.2 GB	6.1 GB	25.7 MB	5.5 MB
10	21/a2aad6	13835	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (HB3)	COMPLETED	0	2024-04-03 10:41:09.950	3.8s	3s	177.6%	955.5 MB	6 GB	27.6 MB	5.4 MB
12	5a/e2eda2	14003	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (HB4)	COMPLETED	0	2024-04-03 10:41:10.259	4.1s	4s	159.6%	848.7 MB	6 GB	27.1 MB	5.5 MB
14	fe/198f65	15278	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (HB5)	COMPLETED	0	2024-04-03 10:41:13.703	3.6s	4s	173.7%	790.3 MB	6 GB	26.6 MB	5.5 MB
16	92/7eac55	15626	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (N1)	COMPLETED	0	2024-04-03 10:41:14.333	3.6s	3s	174.1%	894.2 MB	6.1 GB	28.6 MB	5.4 MB
18	f7/81c77c	16353	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (N2)	COMPLETED	0	2024-04-03 10:41:17.258	3.5s	3s	184.5%	944.8 MB	6.1 GB	28.4 MB	5.5 MB
20	c3/93d271	16677	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (N3)	COMPLETED	0	2024-04-03 10:41:17.943	3.6s	3s	173.6%	1.1 GB	6.1 GB	28.1 MB	5.3 MB
22	65/b10cec	17484	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (N4)	COMPLETED	0	2024-04-03 10:41:20.767	3.6s	4s	181.2%	990 MB	6.1 GB	25.7 MB	5.4 MB
23	de/83219d	17879	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (N5)	COMPLETED	0	2024-04-03 10:41:21.530	3.6s	3s	159.4%	819.5 MB	6 GB	26.7 MB	5.3 MB
4	41/32e0e4	18634	NFCORE_AMPLISEQ:AMPLISEQ:KRAKEN2_TAXONOMY_WF:UNTAR (16S_Silva138_20200326.tgz)	COMPLETED	0	2024-04-03 10:41:29.093	2.1s	1.5s	106.8%	10.9 MB	19.9 MB	529.1 MB	456 MB
25	60/1b69d7	14024	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_QUALITY1 (FW)	COMPLETED	0	2024-04-03 10:41:10.264	26.4s	26s	105.9%	1.8 GB	7.1 GB	193.2 MB	1.4 MB
24	86/5b1f0e	14011	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_QUALITY1 (RV)	COMPLETED	0	2024-04-03 10:41:10.262	26.5s	26s	105.0%	1.9 GB	7.1 GB	183 MB	1.4 MB
27	23/4a79ac	19492	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:TRUNCLEN (RV)	COMPLETED	0	2024-04-03 10:41:36.758	1.9s	0ms	240.5%	9.7 MB	32.3 MB	9.8 MB	403 B
26	34/e8f6d1	19381	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:TRUNCLEN (FW)	COMPLETED	0	2024-04-03 10:41:36.702	2.1s	1s	190.7%	4.5 MB	30.1 MB	9.8 MB	417 B
30	be/038d8a	19946	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (HB3)	COMPLETED	0	2024-04-03 10:41:38.834	15.6s	15s	108.1%	1.1 GB	3.6 GB	53.6 MB	12.9 MB
33	ce/19ffa3	19911	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (N1)	COMPLETED	0	2024-04-03 10:41:38.812	16.3s	15s	108.2%	1.1 GB	3.7 GB	54.6 MB	14 MB
28	a0/907e52	20981	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (HB1)	COMPLETED	0	2024-04-03 10:41:54.472	15s	15s	108.8%	1.1 GB	3.6 GB	52.8 MB	12.3 MB
37	9b/470371	21278	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (N5)	COMPLETED	0	2024-04-03 10:41:55.083	15.3s	15s	108.3%	1.1 GB	3.6 GB	52.8 MB	12.5 MB
36	aa/7d3893	22388	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (N4)	COMPLETED	0	2024-04-03 10:42:10.372	14.7s	14s	108.5%	1.1 GB	3.6 GB	51.7 MB	11.4 MB
35	b4/867f42	22094	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (N3)	COMPLETED	0	2024-04-03 10:42:09.501	16.3s	16s	108.4%	1.1 GB	3.7 GB	54.2 MB	13.5 MB
29	62/bf882d	23763	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (HB2)	COMPLETED	0	2024-04-03 10:42:25.834	14.7s	14s	109.1%	1.1 GB	3.6 GB	51.7 MB	11.4 MB
