# Constructed from biom file
#OTU ID	HB1	HB2	HB3	HB4	HB5	N1	N2	N3	N4	N5
Bacteria;Bacteroidota;Bacteroidia	17937.0	14528.0	22688.0	8379.0	14082.0	48992.0	55799.0	32888.0	50568.0	21508.0
Bacteria;Firmicutes;Clostridia	11444.0	4200.0	8135.0	6639.0	6708.0	15245.0	20321.0	11070.0	8893.0	11278.0
Bacteria;;	131.0	435.0	8.0	341.0	115.0	2.0	2.0	73.0	0.0	1.0
Bacteria;Proteobacteria;Gammaproteobacteria	89240.0	99985.0	89781.0	122744.0	97058.0	25332.0	24457.0	26605.0	26636.0	18131.0
Bacteria;Proteobacteria;Alphaproteobacteria	5.0	11.0	58.0	5.0	18.0	17.0	6.0	17.0	10.0	11.0
Bacteria;Deferribacterota;Deferribacteres	0.0	0.0	0.0	0.0	0.0	3.0	3.0	0.0	2.0	0.0
Bacteria;Firmicutes;Bacilli	3935.0	3990.0	5227.0	6054.0	11284.0	17123.0	9050.0	9153.0	6944.0	6147.0
Bacteria;Actinobacteriota;Coriobacteriia	231.0	56.0	96.0	86.0	83.0	216.0	389.0	302.0	100.0	220.0
Bacteria;Firmicutes;Negativicutes	361.0	76.0	224.0	107.0	178.0	63.0	109.0	49.0	4.0	178.0
Bacteria;Spirochaetota;Spirochaetia	4.0	0.0	0.0	2.0	0.0	6.0	0.0	0.0	0.0	3.0
Bacteria;Cyanobacteria;Vampirivibrionia	0.0	0.0	0.0	0.0	0.0	0.0	14.0	2.0	0.0	3.0
Bacteria;Desulfobacterota;Desulfovibrionia	95.0	267.0	92.0	63.0	121.0	78.0	137.0	91.0	31.0	350.0
Bacteria;Firmicutes;	1.0	0.0	0.0	0.0	3.0	11.0	0.0	1.0	2.0	1.0
Bacteria;Campylobacterota;Campylobacteria	15.0	288.0	285.0	243.0	297.0	460.0	113.0	519.0	393.0	93.0
Bacteria;Verrucomicrobiota;Verrucomicrobiae	654.0	1768.0	1244.0	262.0	838.0	14298.0	2445.0	52231.0	26474.0	52926.0
;;	2.0	223.0	0.0	76.0	110.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Actinobacteriota;Actinobacteria	7.0	0.0	0.0	0.0	3.0	9.0	0.0	43.0	3.0	3.0
Bacteria;Elusimicrobiota;Elusimicrobia	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0
Bacteria;Patescibacteria;Saccharimonadia	25.0	0.0	0.0	0.0	0.0	0.0	28.0	4.0	0.0	20.0
Bacteria;Bdellovibrionota;Bdellovibrionia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
Bacteria;Actinobacteriota;Thermoleophilia	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
