	W	Reject null hypothesis
5f4b0fd1309f02d6c945a7d7e0fec858	1501	True
4982bbaf199abfd1057d12302f1c1321	1151	True
2f4a2b08eec8d8d5f66dc0d20552881f	1148	False
c0bbe7b23b3f747e3dceb2b3f03c9841	100	False
7e188068854a7f75f1cb8074510536cc	98	False
1c9b0422e1fdc2a6d3cfeceab3e3653d	73	False
5c243e1a067ac1bb1bc40557991276dc	65	False
19c300fde6f1479db10c5c66fd68efd2	61	False
326c1c807819ee8482ca5a7661aad357	59	False
e9ea98683f263cfdea79c52d44cf3e1a	20	False
239a69e538db13e22ae2ca2600e98011	15	False
e13c4d6b4da9284d21ddc97ff95edde0	11	False
e4221effa62031f63253788fc1a9bbcd	9	False
7574f916d530d9129325fa929457fa6d	9	False
d1bdce4ad13f2c0ac1b3cc8c3be170cf	6	False
0f09fa5640c320d19e856ee569046d52	6	False
1c0c019803006fc12e7b7e976e0d4d48	6	False
071b19ab070af366db4331ed551ffbcb	4	False
4160af217517a57e1175b5d5f137ec5a	4	False
43cf5db35c73abe12517c03321430902	4	False
18013f6843f0892febd6b49b5ecee083	4	False
7909c63aed2c1a08bdc62767c3128fff	4	False
9526999b97ca0114e78aae82ebf020d5	4	False
038b2753f0493640a2a9cfc640c82ab4	4	False
9c610cadec6ad62ed031d01474ff86da	4	False
41662df724726120070d55382c818f1f	4	False
27057ee0145907156b60e745b0de814b	4	False
f7d0ff195ca56e256e79c1adb1ba3346	4	False
caecd808a51aaf828e5e22f201311c39	4	False
b2fa7e1b3556d5ecff73a71ad5f26660	4	False
2caefad96c6c06e6d2d63d07b3debd47	4	False
9544d0f6490c0657e803ec028b2178cc	4	False
ee3726b42c7a0ad47050c4877a54bf68	4	False
f14fee4db36eeab5716b44e0275c0251	4	False
90cd8d8350b76107494a71078163d2a2	4	False
ef8508796cbe3fcd984f0ca44c370ef1	4	False
3206ddfd18f61cb7953d2d314c3d14c4	4	False
6a0778eb0923b4fc819b0f84eb181880	4	False
e4e19bb2f19244a4f21d21b666d67314	4	False
f9ad7f7b93c7a78290f8e33beba55b5b	3	False
0983aa30e5c0984e6d39cb7c167c278a	3	False
20ea4dfbf69029137890ae68502eda61	3	False
f372fd1d1e5b3fd69ea64736c32a1475	3	False
71e1769acc7eea6e0537cc04fe9aef9b	3	False
b786be8ad8fb4e091cd98789c8d37440	3	False
04307017d7de063c1c277d06b9c7ff06	3	False
eae15fc757f499f7905e2a47fc102b16	3	False
021e3963520622e4063dafd91d7210f0	3	False
aa00f90c37f463523163b24da694b533	3	False
4494b2e3922e53f7053acfe926d75d93	3	False
4723a9a7739c5479bd7a07c0ad0c0b8a	3	False
619644dfb60092d2a9c76bf1776dc233	3	False
366d6e50bc214fe8976c16b53ddae456	3	False
6f3598cadbe4e127619b4a4defafaa28	3	False
d547e157154fd95af56d7190b2185865	3	False
82c94178f7a22afa49f17ee5e7c4b746	3	False
f4a60d948f72a4f665b0b9a60e9c89bb	3	False
c3c6f571ff7cfdc253e299dc35d9f4a0	3	False
a76d497b2a18beb6c57d78dfdc856f41	3	False
ba51a05cf2d95fa841f245d8c8716352	3	False
29cf4ea25c840b7d90d2a487096c5473	3	False
1260f8fe4a31c373fc5824cef692133e	3	False
6248761baa32b6e1fce1cd0ee7ff9f51	3	False
703a893b898c0ea2428daecfe5231cb6	3	False
593c61f4468b1cd51fc59e3a67bfd870	3	False
199972d56e5e6cd131311ce22bceeac1	3	False
3ebf3dbdad228752d5cfc834a04d4108	3	False
4314c2c740c756fe508e9eb334a6bf2d	3	False
200192addda010f26bcae93b6bcba3a0	3	False
18b5da18f169e53138ddc829cf508b8c	3	False
dc96b9f3c6ef0f252316a8a88f56a0f2	3	False
55fdc1a12f9e61d37d7afb446222101f	3	False
4d2a226b02459dfad057a9e7219cd518	3	False
f131fc37bd478d4dcb8e1bed13872c5a	3	False
b2750ad59e551b9a1975e58fe997deb4	3	False
ef08d5e018880a6dfb0eb3464da3e742	3	False
6551450b18df48ec9321220d1f586cd3	3	False
f82a2bb3db7cb742f7113e4c37a2ee0a	3	False
d6bcfc28dc0b7fe28f653f903f31d5c2	3	False
0fde7a1302ab6ed4cde806b9d923ac5b	3	False
18a1cfe367f0a13058954d789c419a84	3	False
53af3faa7d6c433379278d1dd484bc33	3	False
8f3dc060aeac870af9ba14d6c5f95dba	3	False
02c7b9741b1d76fb3d791ff9b016a27d	3	False
b96120e3102d079af81d5dbe95da24bf	3	False
f4325ac5b0acf3b16701b42a03ebaced	3	False
67a468c1cf7282f8beb84664ad566fd7	3	False
25403a1295cd8e6788f30fe627674fae	3	False
d6aef18ae3e76eaffb50e5c1b6c8a179	3	False
4d3e0fb41647b225f4081c96b24b9796	3	False
082f3c3f3271e7391ed7906a9c7669a0	3	False
08dba6811492386560788098fd6d2606	3	False
12cec15af97c922d4ba647f0fb043565	3	False
10edbd75f3e069bf36893906631439a4	3	False
138df4c6cf0ba31b3b43ca4b59fa2c07	3	False
a4b129a34bd618110b5700898115c942	3	False
a97ad34db087691d4f9f6db09e290073	3	False
226b857771ce50a410cca7c85523cbb4	3	False
e40030be58ad7f1aaabbb9ca6f96175a	3	False
0e779d5c1d1ff9eac92c205f24770932	3	False
09bcc3bb3e7394ceb6639518c25634e7	3	False
1471416a0e353e826219fea307f4eb95	3	False
704431791db8e1de10cf81411cd95d6b	3	False
1759f81cbfb2116e8e922d6153c265e3	3	False
beaf5663dcf1cf74201a6750d2eb68c9	3	False
821000f36ec13b91ed771e17276396bd	3	False
628de7c06ab030cbe1bcac731a5e6bb0	3	False
705339576bef524cebbae1d4eb0128b1	3	False
83bf03b1ec5e6b0f55d0f5f0d0a6471a	3	False
0f25574c60e05f28ed266f2a310391bc	3	False
53001bbe8adbe985938e9831395cee87	3	False
606e5a3e9892db75ad9e85282ec0eae0	3	False
e0a9dbea5ecff8b39b5d9a1f932aa826	3	False
7d2038406010e80fbaf6bd260990c901	3	False
c1cab25fde0c72e281075f70408880f6	3	False
f42965e5423412f66ffdeb9401fda609	3	False
d92685e4d54be7ab562b60dbf3bb96ff	3	False
9f099bb578adde6eb6b41cf7564e04b9	3	False
f97e3686b1ce59fa8c498e61374c77e7	3	False
2e379f23f82ca850b66f7c4431d95a6a	3	False
c0cd58752cb51e381f539168550ac8ca	3	False
70ebd2b2e18de2fd058b06ab917ac9a6	3	False
a4e6ae5d0b36d6dd35822fe4c92a7450	3	False
3f0665fa61602f79d63fdf35e6095543	3	False
10af4be85d83f93e3ccfeeca310abd01	3	False
f54af88387e00e6d27f5cf5da298aeb9	3	False
770af58a6c71120fae176864c0b08bd4	3	False
2120d83387b0cfd1d67e89ab840b6496	3	False
b8f754db9f388a54e792f36a80f3b4ae	3	False
1ce1f12c20272f23074bc503c92a91ca	3	False
553ed1348cc336a8e6d027a6a761ca8f	3	False
