	W	Reject null hypothesis
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales	21	True
Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales	6	False
Bacteria;Firmicutes;Clostridia;Peptococcales	3	False
Bacteria;Proteobacteria;Gammaproteobacteria;Salinisphaerales	2	False
Bacteria;;;	2	False
Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales	1	False
;;;	1	False
Bacteria;Firmicutes;Bacilli;	1	False
Bacteria;Firmicutes;Clostridia;Clostridia vadinBB60 group	1	False
Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales	1	False
Bacteria;Firmicutes;Clostridia;Lachnospirales	1	False
Bacteria;Elusimicrobiota;Elusimicrobia;Elusimicrobiales	1	False
Bacteria;Bacteroidota;Bacteroidia;	1	False
Bacteria;Firmicutes;Clostridia;	1	False
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales	1	False
Bacteria;Bdellovibrionota;Bdellovibrionia;Bacteriovoracales	1	False
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales	1	False
Bacteria;Firmicutes;Clostridia;Oscillospirales	1	False
Bacteria;Actinobacteriota;Thermoleophilia;Solirubrobacterales	1	False
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales	1	False
Bacteria;Deferribacterota;Deferribacteres;Deferribacterales	1	False
Bacteria;Firmicutes;Bacilli;Lactobacillales	1	False
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales	1	False
Bacteria;Firmicutes;Bacilli;Erysipelotrichales	1	False
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales	1	False
Bacteria;Firmicutes;Clostridia;Clostridia UCG-014	1	False
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales	1	False
Bacteria;Proteobacteria;Alphaproteobacteria;Paracaedibacterales	0	False
Bacteria;Firmicutes;Bacilli;Bacillales	0	False
Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales	0	False
Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales	0	False
Bacteria;Proteobacteria;Gammaproteobacteria;MBMPE27	0	False
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales	0	False
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales	0	False
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales	0	False
Bacteria;Firmicutes;;	0	False
Bacteria;Bacteroidota;Bacteroidia;Cytophagales	0	False
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales	0	False
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales	0	False
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales	0	False
Bacteria;Firmicutes;Bacilli;RF39	0	False
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales	0	False
Bacteria;Firmicutes;Clostridia;Monoglobales	0	False
Bacteria;Firmicutes;Clostridia;Clostridiales	0	False
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales	0	False
Bacteria;Firmicutes;Clostridia;Christensenellales	0	False
Bacteria;Firmicutes;Bacilli;Staphylococcales	0	False
Bacteria;Cyanobacteria;Vampirivibrionia;Gastranaerophilales	0	False
Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales	0	False
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales	0	False
Bacteria;Firmicutes;Negativicutes;Acidaminococcales	0	False
Bacteria;Campylobacterota;Campylobacteria;Campylobacterales	0	False
Bacteria;Firmicutes;Bacilli;Acholeplasmatales	0	False
