index,Bacteria;Bacteroidota,Bacteria;Firmicutes,Bacteria;,Bacteria;Proteobacteria,Bacteria;Deferribacterota,Bacteria;Actinobacteriota,Bacteria;Spirochaetota,Bacteria;Cyanobacteria,Bacteria;Desulfobacterota,Bacteria;Campylobacterota,Bacteria;Verrucomicrobiota,;,Bacteria;Elusimicrobiota,Bacteria;Patescibacteria,Bacteria;Bdellovibrionota,condition
HB1,17937.0,15741.0,131.0,89245.0,0.0,238.0,4.0,0.0,95.0,15.0,654.0,2.0,0.0,25.0,0.0,HB
HB2,14528.0,8266.0,435.0,99996.0,0.0,56.0,0.0,0.0,267.0,288.0,1768.0,223.0,2.0,0.0,0.0,HB
HB3,22688.0,13586.0,8.0,89839.0,0.0,96.0,0.0,0.0,92.0,285.0,1244.0,0.0,0.0,0.0,0.0,HB
HB4,8379.0,12800.0,341.0,122749.0,0.0,86.0,2.0,0.0,63.0,243.0,262.0,76.0,0.0,0.0,0.0,HB
HB5,14082.0,18173.0,115.0,97076.0,0.0,86.0,0.0,0.0,121.0,297.0,838.0,110.0,0.0,0.0,0.0,HB
N1,48992.0,32442.0,2.0,25349.0,3.0,225.0,6.0,0.0,78.0,460.0,14298.0,0.0,0.0,0.0,0.0,N
N2,55799.0,29480.0,2.0,24463.0,3.0,391.0,0.0,14.0,137.0,113.0,2445.0,0.0,0.0,28.0,0.0,N
N3,32888.0,20273.0,73.0,26622.0,0.0,345.0,0.0,2.0,91.0,519.0,52231.0,0.0,0.0,4.0,0.0,N
N4,50568.0,15843.0,0.0,26646.0,2.0,103.0,0.0,0.0,31.0,393.0,26474.0,0.0,0.0,0.0,2.0,N
N5,21508.0,17604.0,1.0,18142.0,0.0,223.0,3.0,3.0,350.0,93.0,52926.0,0.0,6.0,20.0,0.0,N
