	SubjectID1	SubjectID2	Group1	Group2	Distance
0	HB2	HB1	HB	HB	0.21879706707311575
1	HB3	HB1	HB	HB	0.6505379738273253
2	HB3	HB2	HB	HB	0.7071762912724682
3	HB4	HB1	HB	HB	0.2342012464037374
4	HB4	HB2	HB	HB	0.14334544864221357
5	HB4	HB3	HB	HB	0.7591789247738526
6	HB5	HB1	HB	HB	0.20665770795191155
7	HB5	HB2	HB	HB	0.16216776846833034
8	HB5	HB3	HB	HB	0.7186302185265019
9	HB5	HB4	HB	HB	0.17711198694071917
10	HB1	N1	HB	N	0.7842152256062915
11	HB1	N2	HB	N	0.7885352501375373
12	HB1	N3	HB	N	0.7919533906330324
13	HB1	N4	HB	N	0.8314649302392698
14	HB1	N5	HB	N	0.7495468032720353
15	HB2	N1	HB	N	0.7575555335095013
16	HB2	N2	HB	N	0.809134281514083
17	HB2	N3	HB	N	0.768901234679245
18	HB2	N4	HB	N	0.7795524851414605
19	HB2	N5	HB	N	0.7403566049477358
20	HB3	N1	HB	N	0.7113520143579939
21	HB3	N2	HB	N	0.7944516094120618
22	HB3	N3	HB	N	0.7065088970860127
23	HB3	N4	HB	N	0.7470034902912184
24	HB3	N5	HB	N	0.7569151958441184
25	HB4	N1	HB	N	0.8112988031998846
26	HB4	N2	HB	N	0.8819433797202356
27	HB4	N3	HB	N	0.8364343112762561
28	HB4	N4	HB	N	0.8502692123846716
29	HB4	N5	HB	N	0.8457597922059181
30	HB5	N1	HB	N	0.7268824574536206
31	HB5	N2	HB	N	0.8192894957566356
32	HB5	N3	HB	N	0.7767566446306334
33	HB5	N4	HB	N	0.7949837209931547
34	HB5	N5	HB	N	0.7918451645487423
0	N2	N1	N	N	0.3677883097791286
1	N3	N1	N	N	0.3883873411556742
2	N3	N2	N	N	0.5473444024567321
3	N4	N1	N	N	0.28727712190766513
4	N4	N2	N	N	0.2848871292129258
5	N4	N3	N	N	0.3194383066225345
6	N5	N1	N	N	0.5338612361222594
7	N5	N2	N	N	0.631066297495468
8	N5	N3	N	N	0.29850557815276113
9	N5	N4	N	N	0.4963699167561035
10	N1	HB1	N	HB	0.7842152256062915
11	N1	HB2	N	HB	0.7575555335095013
12	N1	HB3	N	HB	0.7113520143579939
13	N1	HB4	N	HB	0.8112988031998846
14	N1	HB5	N	HB	0.7268824574536206
15	N2	HB1	N	HB	0.7885352501375373
16	N2	HB2	N	HB	0.809134281514083
17	N2	HB3	N	HB	0.7944516094120618
18	N2	HB4	N	HB	0.8819433797202356
19	N2	HB5	N	HB	0.8192894957566356
20	N3	HB1	N	HB	0.7919533906330324
21	N3	HB2	N	HB	0.768901234679245
22	N3	HB3	N	HB	0.7065088970860127
23	N3	HB4	N	HB	0.8364343112762561
24	N3	HB5	N	HB	0.7767566446306334
25	N4	HB1	N	HB	0.8314649302392698
26	N4	HB2	N	HB	0.7795524851414605
27	N4	HB3	N	HB	0.7470034902912184
28	N4	HB4	N	HB	0.8502692123846716
29	N4	HB5	N	HB	0.7949837209931547
30	N5	HB1	N	HB	0.7495468032720353
31	N5	HB2	N	HB	0.7403566049477358
32	N5	HB3	N	HB	0.7569151958441184
33	N5	HB4	N	HB	0.8457597922059181
34	N5	HB5	N	HB	0.7918451645487423
