	SubjectID1	SubjectID2	Group1	Group2	Distance
0	HB2	HB1	HB	HB	0.8204193254329991
1	HB3	HB1	HB	HB	0.6437125748502994
2	HB3	HB2	HB	HB	0.7334732423924449
3	HB4	HB1	HB	HB	0.771050141911069
4	HB4	HB2	HB	HB	0.7083333333333334
5	HB4	HB3	HB	HB	0.7078891257995735
6	HB5	HB1	HB	HB	0.7818499127399651
7	HB5	HB2	HB	HB	0.7396149949341438
8	HB5	HB3	HB	HB	0.7315891472868217
9	HB5	HB4	HB	HB	0.7150205761316872
10	HB1	N1	HB	N	0.7992779783393502
11	HB1	N2	HB	N	0.7794336810730254
12	HB1	N3	HB	N	0.8141361256544503
13	HB1	N4	HB	N	0.8298507462686567
14	HB1	N5	HB	N	0.7690079652425779
15	HB2	N1	HB	N	0.7940941739824421
16	HB2	N2	HB	N	0.8742424242424243
17	HB2	N3	HB	N	0.8292919495635306
18	HB2	N4	HB	N	0.7967097532314924
19	HB2	N5	HB	N	0.7455429497568882
20	HB3	N1	HB	N	0.7610062893081762
21	HB3	N2	HB	N	0.8338345864661654
22	HB3	N3	HB	N	0.7590243902439024
23	HB3	N4	HB	N	0.7439446366782007
24	HB3	N5	HB	N	0.8294629898403484
25	HB4	N1	HB	N	0.7356130108423686
26	HB4	N2	HB	N	0.8241324921135647
27	HB4	N3	HB	N	0.77079107505071
28	HB4	N4	HB	N	0.7481751824817519
29	HB4	N5	HB	N	0.8117827084927315
30	HB5	N1	HB	N	0.7309205350118018
31	HB5	N2	HB	N	0.8202080237741456
32	HB5	N3	HB	N	0.7868396663577386
33	HB5	N4	HB	N	0.7599118942731278
34	HB5	N5	HB	N	0.7991266375545851
0	N2	N1	N	N	0.7907431551499348
1	N3	N1	N	N	0.7706708268330733
2	N3	N2	N	N	0.7729430379746836
3	N4	N1	N	N	0.7661647475642162
4	N4	N2	N	N	0.7483989021043
5	N4	N3	N	N	0.6074168797953964
6	N5	N1	N	N	0.8033707865168539
7	N5	N2	N	N	0.8093140339836375
8	N5	N3	N	N	0.872027972027972
9	N5	N4	N	N	0.8757861635220126
10	N1	HB1	N	HB	0.7992779783393502
11	N1	HB2	N	HB	0.7940941739824421
12	N1	HB3	N	HB	0.7610062893081762
13	N1	HB4	N	HB	0.7356130108423686
14	N1	HB5	N	HB	0.7309205350118018
15	N2	HB1	N	HB	0.7794336810730254
16	N2	HB2	N	HB	0.8742424242424243
17	N2	HB3	N	HB	0.8338345864661654
18	N2	HB4	N	HB	0.8241324921135647
19	N2	HB5	N	HB	0.8202080237741456
20	N3	HB1	N	HB	0.8141361256544503
21	N3	HB2	N	HB	0.8292919495635306
22	N3	HB3	N	HB	0.7590243902439024
23	N3	HB4	N	HB	0.77079107505071
24	N3	HB5	N	HB	0.7868396663577386
25	N4	HB1	N	HB	0.8298507462686567
26	N4	HB2	N	HB	0.7967097532314924
27	N4	HB3	N	HB	0.7439446366782007
28	N4	HB4	N	HB	0.7481751824817519
29	N4	HB5	N	HB	0.7599118942731278
30	N5	HB1	N	HB	0.7690079652425779
31	N5	HB2	N	HB	0.7455429497568882
32	N5	HB3	N	HB	0.8294629898403484
33	N5	HB4	N	HB	0.8117827084927315
34	N5	HB5	N	HB	0.7991266375545851
