	SubjectID1	SubjectID2	Group1	Group2	Distance
0	HB2	HB1	HB	HB	0.6144275665283203
1	HB3	HB1	HB	HB	0.6683353781700134
2	HB3	HB2	HB	HB	0.7420158982276917
3	HB4	HB1	HB	HB	0.5995713472366333
4	HB4	HB2	HB	HB	0.2834998071193695
5	HB4	HB3	HB	HB	0.699333667755127
6	HB5	HB1	HB	HB	0.5624669194221497
7	HB5	HB2	HB	HB	0.3236628174781799
8	HB5	HB3	HB	HB	0.7536200284957886
9	HB5	HB4	HB	HB	0.2957830429077148
10	HB1	N1	HB	N	0.6717090010643005
11	HB1	N2	HB	N	0.6766902208328247
12	HB1	N3	HB	N	0.7363213300704956
13	HB1	N4	HB	N	0.7278527021408081
14	HB1	N5	HB	N	0.6537705063819885
15	HB2	N1	HB	N	0.8057575821876526
16	HB2	N2	HB	N	0.8364615440368652
17	HB2	N3	HB	N	0.7804791331291199
18	HB2	N4	HB	N	0.8394421935081482
19	HB2	N5	HB	N	0.7984122633934021
20	HB3	N1	HB	N	0.5472634434700012
21	HB3	N2	HB	N	0.606579601764679
22	HB3	N3	HB	N	0.4240971207618713
23	HB3	N4	HB	N	0.5639153718948364
24	HB3	N5	HB	N	0.59303879737854
25	HB4	N1	HB	N	0.7689562439918518
26	HB4	N2	HB	N	0.8066518306732178
27	HB4	N3	HB	N	0.7361835837364197
28	HB4	N4	HB	N	0.8039026856422424
29	HB4	N5	HB	N	0.7918932437896729
30	HB5	N1	HB	N	0.7649081349372864
31	HB5	N2	HB	N	0.7945531010627747
32	HB5	N3	HB	N	0.7926002144813538
33	HB5	N4	HB	N	0.8020347356796265
34	HB5	N5	HB	N	0.7803217768669128
0	N2	N1	N	N	0.5318368077278137
1	N3	N1	N	N	0.5897430181503296
2	N3	N2	N	N	0.5813990235328674
3	N4	N1	N	N	0.5126180648803711
4	N4	N2	N	N	0.532427191734314
5	N4	N3	N	N	0.5070467591285706
6	N5	N1	N	N	0.5257472991943359
7	N5	N2	N	N	0.5552489757537842
8	N5	N3	N	N	0.6591642498970032
9	N5	N4	N	N	0.616345226764679
10	N1	HB1	N	HB	0.6717090010643005
11	N1	HB2	N	HB	0.8057575821876526
12	N1	HB3	N	HB	0.5472634434700012
13	N1	HB4	N	HB	0.7689562439918518
14	N1	HB5	N	HB	0.7649081349372864
15	N2	HB1	N	HB	0.6766902208328247
16	N2	HB2	N	HB	0.8364615440368652
17	N2	HB3	N	HB	0.606579601764679
18	N2	HB4	N	HB	0.8066518306732178
19	N2	HB5	N	HB	0.7945531010627747
20	N3	HB1	N	HB	0.7363213300704956
21	N3	HB2	N	HB	0.7804791331291199
22	N3	HB3	N	HB	0.4240971207618713
23	N3	HB4	N	HB	0.7361835837364197
24	N3	HB5	N	HB	0.7926002144813538
25	N4	HB1	N	HB	0.7278527021408081
26	N4	HB2	N	HB	0.8394421935081482
27	N4	HB3	N	HB	0.5639153718948364
28	N4	HB4	N	HB	0.8039026856422424
29	N4	HB5	N	HB	0.8020347356796265
30	N5	HB1	N	HB	0.6537705063819885
31	N5	HB2	N	HB	0.7984122633934021
32	N5	HB3	N	HB	0.59303879737854
33	N5	HB4	N	HB	0.7918932437896729
34	N5	HB5	N	HB	0.7803217768669128
