	M4.150.61000	M4.151.61000	M4.152.61000	M4.153.61000	M4.154.61000	M4.155.61000	M4.156.61000	M4.157.61000	M4.158.61000	M4.159.61000	M4.160.61000	M4.161.61000	M4.162.61000	M4.163.61000	M4.164.61000	M4.165.61000	M4.166.61000	M4.167.61000	M4.168.61000	M4.169.61000	M4.170.61000	M4.171.61000	M4.172.61000	M4.173.61000
Acetate (cecum)	45.59	24.81	21.6	21.57	24.89	24.8	30.2	17.16	7.99	8.38	12.49	6.39	4.61	10.0	14.91	11.35	26.09	13.89	15.77	25.94	27.41	16.89	26.32	20.58
Propionate(cecum)	8.44	5.78	4.23	5.47	6.02	5.62	6.56	5.26	1.88	2.17	3.62	1.93	1.01	2.67	3.21	2.71	5.47	3.05	4.61	6.77	4.65	4.32	7.03	5.25
Butyrate (cecum)	16.43	8.99	10.51	12.35	14.59	18.56	12.72	9.73	1.7	1.44	1.85	1.02	0.72	1.4	3.64	1.69	11.19	5.8	7.5	16.05	9.65	5.69	11.76	8.5
Isobut (cecum)	0.55	0.51	0.67	0.34	0.5	1.0	0.81	0.42	0.22	0.27	0.45	0.2	0.14	0.55	0.2	0.32	0.91	0.17	0.38	0.47	0.2	0.43	0.56	0.37
isovalerate (cecum)	0.32	0.69	0.5	0.26	0.36	0.55	0.43	0.4	0.32	0.32	2.62	0.34	0.15	0.39	0.25	0.33	0.4	0.32	0.38	0.38	0.23	0.38	0.64	0.29
C0	68.9	62.7	67.4	63.1	66.7	72.0	63.6	53.6	74.9	68.6	44.4	61.6	64.3	42.5	79.5	42.5	51.5	50.2	50.7	37.5	56.7	41.9	47.5	30.6
C2	34.5	32.7	34.0	30.5	25.6	31.0	25.6	18.3	25.8	34.2	35.6	21.8	26.0	46.4	67.4	24.8	21.8	21.9	30.0	11.2	25.7	20.8	28.7	20.3
C3	0.943	1.29	1.46	1.01	1.04	2.18	1.2	0.661	0.945	0.701	0.708	0.553	0.884	0.961	1.28	0.642	1.57	0.847	1.87	0.67	2.33	1.14	2.12	0.976
C4	3.0	1.99	5.19	3.58	3.49	3.19	2.79	1.67	0.655	0.873	0.726	0.693	0.712	1.34	1.97	0.697	6.79	3.45	7.16	2.79	6.36	3.31	6.95	1.46
TMAO	7.97	8.03	8.73	8.87	6.82	6.61	7.56	5.26	4.4	4.34	2.65	3.18	3.77	2.68	4.68	2.38	12.8	12.2	13.8	4.96	13.0	12.8	9.97	9.7
Arg	259.0	149.0	135.0	160.0	170.0	299.0	200.0	212.0	236.0	180.0	229.0	95.8	92.0	79.5	84.2	57.3	240.0	243.0	231.0	33.9	203.0	192.0	190.0	190.0
His	114.0	89.0	74.4	57.3	104.0	103.0	85.7	80.6	109.0	114.0	110.0	79.8	90.3	89.1	113.0	98.8	89.2	75.6	83.3	103.0	81.5	74.7	74.5	89.1
Ile	126.0	119.0	90.3	82.9	160.0	106.0	98.9	86.8	93.0	107.0	140.0	92.5	98.8	117.0	143.0	80.4	130.0	133.0	112.0	119.0	142.0	100.0	117.0	80.4
Leu	199.0	173.0	147.0	135.0	269.0	170.0	146.0	134.0	160.0	179.0	229.0	150.0	158.0	194.0	260.0	128.0	211.0	190.0	167.0	181.0	224.0	150.0	177.0	122.0
Trp	89.4	98.5	88.7	91.9	117.0	138.0	123.0	118.0	104.0	86.2	117.0	105.0	112.0	98.7	61.8	90.8	111.0	135.0	113.0	120.0	143.0	120.0	140.0	97.3
Tyr	98.4	76.1	61.2	64.8	119.0	153.0	118.0	102.0	72.1	73.9	88.4	78.7	83.5	71.4	70.2	68.6	96.9	105.0	102.0	75.4	125.0	117.0	122.0	73.5
Val	287.0	241.0	224.0	218.0	349.0	276.0	242.0	229.0	232.0	229.0	265.0	200.0	211.0	238.0	289.0	188.0	316.0	290.0	270.0	276.0	307.0	250.0	270.0	158.0
Putrescine	1.57	1.4	1.64	1.61	1.26	1.9	1.51	1.34	1.95	3.42	2.28	1.64	1.65	2.62	3.8	2.57	1.38	1.47	1.92	1.53	1.6	1.78	1.74	1.14
Spermidine	10.4	10.4	7.87	8.42	7.38	5.37	9.83	7.5	9.9	24.4	11.8	10.1	10.5	14.4	9.690000000000001	15.4	6.29	7.25	9.05	9.690000000000001	9.55	10.1	9.0	5.91
Spermine	2.77	2.94	1.98	2.16	2.48	1.31	2.5	1.85	2.16	6.02	2.79	3.4	3.71	3.94	10.2	4.47	1.58	2.41	2.46	2.84	3.1	2.69	2.34	1.97
3-IPA	5.23	2.09	2.01	2.81	3.84	2.58	3.69	2.44	0.819	0.589	0.147	0.244	0.245	0.176	0.203	0.229	3.85	4.49	3.66	0.737	4.38	4.27	3.07	5.08
